AD,ED,borough_code,borough_name,ed_uid
61,1,,,MULTI-AD61-ED001
61,2,,,MULTI-AD61-ED002
61,3,,,MULTI-AD61-ED003
61,4,,,MULTI-AD61-ED004
61,5,,,MULTI-AD61-ED005
61,6,,,MULTI-AD61-ED006
61,7,,,MULTI-AD61-ED007
61,8,,,MULTI-AD61-ED008
61,9,,,MULTI-AD61-ED009
61,10,,,MULTI-AD61-ED010
61,11,,,MULTI-AD61-ED011
61,12,,,MULTI-AD61-ED012
61,13,,,MULTI-AD61-ED013
61,14,,,MULTI-AD61-ED014
61,15,,,MULTI-AD61-ED015
61,16,,,MULTI-AD61-ED016
61,17,,,MULTI-AD61-ED017
61,18,,,MULTI-AD61-ED018
61,19,,,MULTI-AD61-ED019
61,20,,,MULTI-AD61-ED020
61,21,,,MULTI-AD61-ED021
61,22,,,MULTI-AD61-ED022
61,23,,,MULTI-AD61-ED023
61,24,,,MULTI-AD61-ED024
61,25,,,MULTI-AD61-ED025
61,26,,,MULTI-AD61-ED026
61,27,,,MULTI-AD61-ED027
61,28,,,MULTI-AD61-ED028
61,29,,,MULTI-AD61-ED029
61,30,,,MULTI-AD61-ED030
61,31,,,MULTI-AD61-ED031
61,32,,,MULTI-AD61-ED032
61,33,,,MULTI-AD61-ED033
61,34,,,MULTI-AD61-ED034
61,35,,,MULTI-AD61-ED035
61,36,,,MULTI-AD61-ED036
61,37,,,MULTI-AD61-ED037
61,38,,,MULTI-AD61-ED038
61,39,,,MULTI-AD61-ED039
61,40,,,MULTI-AD61-ED040
61,41,,,MULTI-AD61-ED041
61,42,,,MULTI-AD61-ED042
61,43,,,MULTI-AD61-ED043
61,44,,,MULTI-AD61-ED044
61,45,,,MULTI-AD61-ED045
61,46,,,MULTI-AD61-ED046
61,47,,,MULTI-AD61-ED047
61,48,,,MULTI-AD61-ED048
61,49,,,MULTI-AD61-ED049
61,50,,,MULTI-AD61-ED050
61,51,,,MULTI-AD61-ED051
61,52,,,MULTI-AD61-ED052
61,60,,,MULTI-AD61-ED060
61,61,,,MULTI-AD61-ED061
61,62,,,MULTI-AD61-ED062
61,63,,,MULTI-AD61-ED063
61,64,,,MULTI-AD61-ED064
61,65,,,MULTI-AD61-ED065
61,66,,,MULTI-AD61-ED066
61,67,,,MULTI-AD61-ED067
61,68,,,MULTI-AD61-ED068
61,69,,,MULTI-AD61-ED069
61,70,,,MULTI-AD61-ED070
61,71,,,MULTI-AD61-ED071
61,72,,,MULTI-AD61-ED072
61,73,,,MULTI-AD61-ED073
61,74,,,MULTI-AD61-ED074
61,100,,,MULTI-AD61-ED100
61,101,,,MULTI-AD61-ED101
61,102,,,MULTI-AD61-ED102
61,103,,,MULTI-AD61-ED103
61,104,,,MULTI-AD61-ED104
61,105,,,MULTI-AD61-ED105
61,106,,,MULTI-AD61-ED106
61,107,,,MULTI-AD61-ED107
61,108,,,MULTI-AD61-ED108
61,109,,,MULTI-AD61-ED109
61,110,,,MULTI-AD61-ED110
61,111,,,MULTI-AD61-ED111
61,112,,,MULTI-AD61-ED112
61,113,,,MULTI-AD61-ED113
61,114,,,MULTI-AD61-ED114
