AD,borough_code,borough_name
23,QN,Queens
24,QN,Queens
25,QN,Queens
26,QN,Queens
27,QN,Queens
28,QN,Queens
29,QN,Queens
30,QN,Queens
31,QN,Queens
32,QN,Queens
33,QN,Queens
34,QN,Queens
35,QN,Queens
36,QN,Queens
37,MN,Manhattan
38,QN,Queens
39,QN,Queens
40,QN,Queens
41,BK,Brooklyn
42,BK,Brooklyn
43,BK,Brooklyn
44,BK,Brooklyn
45,BK,Brooklyn
46,BK,Brooklyn
47,BK,Brooklyn
48,BK,Brooklyn
49,BK,Brooklyn
50,BK,Brooklyn
51,BK,Brooklyn
52,BK,Brooklyn
53,BK,Brooklyn
54,BK,Brooklyn
55,BK,Brooklyn
56,BK,Brooklyn
57,BK,Brooklyn
58,BK,Brooklyn
59,BK,Brooklyn
60,BK,Brooklyn
61,SI,Staten Island
61,MN,Manhattan
61,BK,Brooklyn
62,SI,Staten Island
63,SI,Staten Island
64,SI,Staten Island
64,BK,Brooklyn
65,MN,Manhattan
66,MN,Manhattan
67,MN,Manhattan
68,MN,Manhattan
69,MN,Manhattan
70,MN,Manhattan
71,MN,Manhattan
72,MN,Manhattan
73,MN,Manhattan
74,MN,Manhattan
75,MN,Manhattan
76,MN,Manhattan
77,BX,Bronx
78,BX,Bronx
79,BX,Bronx
80,BX,Bronx
81,BX,Bronx
82,BX,Bronx
83,BX,Bronx
84,BX,Bronx
85,BX,Bronx
86,BX,Bronx
87,BX,Bronx
